lat;long;formatted_address
-30 0685102;-51 1466099;Av. Bento Gonçalves, 6971 - Partenon, Porto Alegre - RS, 90650-002, Brazil
-30 005843;-51 148445;R. Bogotá, 485 - São Sebastião, Porto Alegre - RS, 91060-000, Brazil
-30 0599757;-51 2233656;Av. Getúlio Vargas, 1691 - Menino Deus, Porto Alegre - RS, 90150-001, Brazil
-30 0218825;-51 195018;Av. Nova York, 34 - Auxiliadora, Porto Alegre - RS, 90550-070, Brazil
-30 0823247;-51 2126175;Av. Teresópolis, 3426 - Teresópolis, Porto Alegre - RS, 90870-000, Brazil
-30 0562563;-51 1971578;R. Gonçalves Lêdo, 38 - Partenon, Porto Alegre - RS, 90610-250, Brazil
-29 977471;-51 174873;Praça Jorge Godofredo Felizardo, 80 - Anchieta, Porto Alegre - RS, 90200-130, Brazil
-30 0300834;-51 2275687;Av. Borges de Medeiros, 410 - Centro Histórico, Porto Alegre - RS, 90020-023, Brazil
-30 022211;-51 208385;Rua Dr. Vale, 24 - Floresta / Moinhos de Vento, Porto Alegre - RS, 90560-010, Brazil
-30 0524905;-51 214331;R. Barão do Triunfo, 720 - Menino Deus, Porto Alegre - RS, 90130-100, Brazil
-30 0110143;-51 1524953;R. Zéca Neto, 45 - Cristo Redentor, Porto Alegre - RS, 91370-100, Brazil
-30 0274557;-51 2226183;R. Pinto Bandeira, 357 - Centro Histórico, Porto Alegre - RS, 90030-150, Brazil
-30 066625;-51 1793442;Rua Tenente Alpoin, 307 - Vila Joao Pessoa, Porto Alegre - RS, 91510-710, Brazil
-30 0501948;-51 1869248;R. Barão do Amazonas, 707 - Petrópolis, Porto Alegre - RS, 90670-001, Brazil
-30 0183657;-51 2003687;R. Dr. Timóteo, 371 - Floresta, Porto Alegre - RS, 90570-041, Brazil
-30 0230931;-51 2042204;R. Barão de Santo Ângelo, 331 - Moinhos de Vento, Porto Alegre - RS, 90570-090, Brazil
-30 0283902;-51 1509498;Av. Saturnino de Brito, 1530 - Vila Jardim, Porto Alegre - RS, 91320-001, Brazil
-30 0176195;-51 1548334;R. Sapé, 885 - Passo d'Areia, Porto Alegre - RS, 91350-050, Brazil
-30 0188916;-51 1572455;R. Marcos Moreira, 119 - Vila Ipiranga, Porto Alegre - RS, 91350-040, Brazil
-30 023966;-51 198317;R. Quintino Bocaiúva, 655 - Floresta, Porto Alegre - RS, 90440-051, Brazil
-30 1550934;-51 1414086;Estrada João Antônio da Silveira, 1770 - Restinga, Porto Alegre - RS, 91790-400, Brazil
-30 009786;-51 1519262;Av. Assis Brasil, 3522 - Jardim Lindoia, Porto Alegre - RS, 91010-003, Brazil
-30 0111863;-51 1277607;Av. Baltazar de Oliveira Garcia, 1670 - São Sebastião, Porto Alegre - RS, Brazil
-30 0442424;-51 1540066;R. São Felipe, 292 - Bom Jesus, Porto Alegre - RS, 91420-280, Brazil
-30 0728781;-51 2246849;R. Mutualidade, 290 - Santa Tereza, Porto Alegre - RS, 90850-340, Brazil
-30 0181511;-51 1959011;Av. Cristóvão Colombo, 2427 - Floresta, Porto Alegre - RS, Brazil
-30 0182326;-51 1988231;Av. Cristóvão Colombo, 2149 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-29 9881539;-51 1318776;Av. Martins Bastos, 305 - Sarandi, Porto Alegre - RS, 91120-420, Brazil
-29 9862677;-51 1111278;Av. Bernardino Silveira Amorim, 661 - Sarandi, Porto Alegre - RS, 91140-028, Brazil
-30 0179779;-51 2039266;Av. Cristóvão Colombo, 1724 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-30 0976574;-51 2307492;Av. da Cavalhada, 2370 - Cavalhada, Porto Alegre - RS, 91740-001, Brazil
-30 0513356;-51 2150293;Rua General Caldwell, 1226 - Azenha, Porto Alegre - RS, 90130-050, Brazil
-30 0095681;-51 2011223;Av. Pernambuco, 1909 - Navegantes, Porto Alegre - RS, 90240-001, Brazil
-30 0351112;-51 2277486;R. Cel. Fernando Machado, 981 - Centro Histórico, Porto Alegre - RS, 90010-321, Brazil
